Time,T0,u0,Te0,T1,u1,Te1,T2,u2,Te2,T3,u3,Te3,T4,u4,Te4,T5,u5,Te5,T6,u6,Te6,T7,u7,Te7,T8,u8,Te8,T9,u9,Te9,T10,u10,Te10,T11,u11,Te11
 01/03  01:00:00,15.33664933,0,7.305500018,20,20,7.305500018,15.95190323,0,7.305500018,16.95260513,0,7.305500018,19.99668739,20,7.305500018,16.54012959,0,7.305500018,16.61452663,0,7.305500018,20,20,7.305500018,15.69216715,0,7.305500018,16.92138467,0,7.305500018,20,20,7.305500018,20,20,7.305500018
 01/03  02:00:00,15.17260174,0,6.955500018,20,20,6.955500018,15.80464209,0,6.955500018,16.77062394,0,6.955500018,20,20,6.955500018,16.39998042,0,6.955500018,16.44268727,0,6.955500018,20,20,6.955500018,15.55180817,0,6.955500018,16.66342685,0,6.955500018,20,20,6.955500018,20,20,6.955500018
 01/03  03:00:00,15.03727867,0,6.818000018,20,20,6.818000018,15.69807324,0,6.818000018,16.62011948,0,6.818000018,20,20,6.818000018,16.28752421,0,6.818000018,16.31057277,0,6.818000018,20,20,6.818000018,15.43840284,0,6.818000018,16.44094289,0,6.818000018,20,20,6.818000018,20,20,6.818000018
 01/03  04:00:00,14.90162284,0,6.655500018,20,20,6.655500018,15.59561971,0,6.655500018,16.47375101,0,6.655500018,20,20,6.655500018,16.17640443,0,6.655500018,16.18324793,0,6.655500018,20,20,6.655500018,15.32462876,0,6.655500018,16.2236633,0,6.655500018,20,20,6.655500018,20,20,6.655500018
 01/03  05:00:00,14.76677439,0,6.518000018,20,20,6.518000018,15.4951012,0,6.518000018,16.33249762,0,6.518000018,20,20,6.518000018,16.06866193,0,6.518000018,16.058915,0,6.518000018,20,20,6.518000018,15.21181254,0,6.518000018,16.0127366,0,6.518000018,20,20,6.518000018,20,20,6.518000018
 01/03  06:00:00,14.63140864,0,6.355500018,20,20,6.355500018,15.39417636,0,6.355500018,16.19425714,0,6.355500018,20,20,6.355500018,15.96141524,0,6.355500018,15.93515815,0,6.355500018,20,20,6.355500018,15.0986252,0,6.355500018,15.80658317,0,6.355500018,20,20,6.355500018,20,20,6.355500018
 01/03  07:00:00,14.49773074,0,6.218000018,20,20,6.218000018,15.29538938,0,6.218000018,16.06069288,0,6.218000018,20,20,6.218000018,15.85718677,0,6.218000018,15.81472092,0,6.218000018,20,20,6.218000018,14.98703985,0,6.218000018,15.6074823,0,6.218000018,20,20,6.218000018,20,20,6.218000018
 01/03  08:00:00,14.40588679,0,6.430500018,20,20,6.430500018,15.23768098,0,6.430500018,15.96836717,0,6.430500018,20,20,6.430500018,15.79067857,0,6.430500018,15.73449349,0,6.430500018,20,20,6.430500018,14.91391809,0,6.430500018,15.45224762,0,6.430500018,20,20,6.430500018,20,20,6.430500018
 01/03  09:00:00,14.3757821,0,6.830500018,20,20,6.830500018,15.24018128,0,6.830500018,15.94042289,0,6.830500018,20,20,6.830500018,15.77811341,0,6.830500018,15.71276688,0,6.830500018,20,20,6.830500018,14.89756933,0,6.830500018,15.36338068,0,6.830500018,20,20,6.830500018,20,20,6.830500018
 01/03  10:00:00,14.4211784,0,7.230500018,20,20,7.230500018,15.31374416,0,7.230500018,16.00043013,0,7.230500018,20,20,7.230500018,15.83310801,0,7.230500018,15.76372627,0,7.230500018,20,20,7.230500018,14.95226664,0,7.230500018,15.37552248,0,7.230500018,20,20,7.230500018,20,20,7.230500018
 01/03  11:00:00,14.61560754,0,8.380500018,20,20,8.380500018,15.52611619,0,8.380500018,16.26230842,0,8.380500018,20,20,8.380500018,16.03784429,0,8.380500018,15.95523677,0,8.380500018,20,20,8.380500018,15.14849433,0,8.380500018,15.66456479,0,8.380500018,20,20,8.380500018,20,20,8.380500018
 01/03  12:00:00,14.94531487,0,9.918000018,20,20,9.918000018,15.86538063,0,9.918000018,16.68292971,0,9.918000018,20,20,9.918000018,16.38460489,0,9.918000018,16.27581949,0,9.918000018,20,20,9.918000018,15.4710666,0,9.918000018,16.35942188,0,9.918000018,20.00529855,20,9.918000018,20,20,9.918000018
 01/03  13:00:00,15.33541056,0,11.48050002,20,20,11.48050002,16.26260876,0,11.48050002,17.04658789,0,11.48050002,20,20,11.48050002,16.75320775,0,11.48050002,16.67773841,0,11.48050002,20,20,11.48050002,15.84211888,0,11.48050002,17.23894681,0,11.48050002,20.50326967,20,11.48050002,20,20,11.48050002
 01/03  14:00:00,15.75857711,0,11.95550002,20,20,11.95550002,16.67753174,0,11.95550002,17.29046302,0,11.95550002,20,20,11.95550002,17.00862476,0,11.95550002,17.09670652,0,11.95550002,20,20,11.95550002,16.12901053,0,11.95550002,17.8257848,0,11.95550002,20.98252292,20,11.95550002,20,20,11.95550002
 01/03  15:00:00,16.03756403,0,11.81800002,20,20,11.81800002,16.94273172,0,11.81800002,17.40453767,0,11.81800002,20,20,11.81800002,17.13778755,0,11.81800002,17.36464263,0,11.81800002,20,20,11.81800002,16.29278996,0,11.81800002,18.03482448,0,11.81800002,21.02116108,20,11.81800002,20,20,11.81800002
 01/03  16:00:00,16.11613955,0,11.65550002,20,20,11.65550002,17.00934149,0,11.65550002,17.42779681,0,11.65550002,20,20,11.65550002,17.18273418,0,11.65550002,17.43107383,0,11.65550002,20,20,11.65550002,16.36617167,0,11.65550002,18.00123048,0,11.65550002,20.83696149,20,11.65550002,20,20,11.65550002
 01/03  17:00:00,16.10289318,0,11.58050002,20,20,11.58050002,16.98259883,0,11.58050002,17.39484942,0,11.58050002,20,20,11.58050002,17.17473833,0,11.58050002,17.4009374,0,11.58050002,20,20,11.58050002,16.38217581,0,11.58050002,17.890505,0,11.58050002,20.6033539,20,11.58050002,20,20,11.58050002
 01/03  18:00:00,16.09774802,0,11.58050002,20,20,11.58050002,16.96333234,0,11.58050002,17.36424246,0,11.58050002,20,20,11.58050002,17.16830538,0,11.58050002,17.37666551,0,11.58050002,20,20,11.58050002,16.39633836,0,11.58050002,17.79732558,0,11.58050002,20.41896902,20,11.58050002,20,20,11.58050002
 01/03  19:00:00,16.11459478,0,11.58050002,20,20,11.58050002,16.97028758,0,11.58050002,17.35837165,0,11.58050002,20,20,11.58050002,17.18215816,0,11.58050002,17.37716765,0,11.58050002,20,20,11.58050002,16.42733651,0,11.58050002,17.72706185,0,11.58050002,20.27670336,20,11.58050002,20,20,11.58050002
 01/03  20:00:00,16.14030083,0,11.70550002,20,20,11.70550002,16.98908492,0,11.70550002,17.36467905,0,11.70550002,20,20,11.70550002,17.20567221,0,11.70550002,17.38780585,0,11.70550002,20,20,11.70550002,16.46478215,0,11.70550002,17.66246988,0,11.70550002,20.15998879,20,11.70550002,20,20,11.70550002
 01/03  21:00:00,16.15976975,0,11.84300002,20,20,11.84300002,17.00244753,0,11.84300002,17.36623792,0,11.84300002,20,20,11.84300002,17.22405669,0,11.84300002,17.39131997,0,11.84300002,20,20,11.84300002,16.49534199,0,11.84300002,17.59392115,0,11.84300002,20.05309013,20,11.84300002,20,20,11.84300002
 01/03  22:00:00,16.18539077,0,12.00550002,20,20,12.00550002,17.02166434,0,12.00550002,17.37689474,0,12.00550002,20,20,12.00550002,17.25017499,0,12.00550002,17.40023091,0,12.00550002,20,20,12.00550002,16.53206401,0,12.00550002,17.53306329,0,12.00550002,20.00000054,20,12.00550002,20,20,12.00550002
 01/03  23:00:00,16.20193636,0,11.95550002,20,20,11.95550002,17.03078108,0,11.95550002,17.37483066,0,11.95550002,20,20,11.95550002,17.26211897,0,11.95550002,17.3989598,0,11.95550002,20,20,11.95550002,16.55965934,0,11.95550002,17.4676119,0,11.95550002,20,20,11.95550002,20,20,11.95550002
 01/03  24:00:00,16.20189319,0,11.75550002,20,20,11.75550002,17.02140832,0,11.75550002,17.35495344,0,11.75550002,20,20,11.75550002,17.25617416,0,11.75550002,17.3777755,0,11.75550002,20,20,11.75550002,16.56841721,0,11.75550002,17.39154583,0,11.75550002,20,20,11.75550002,20,20,11.75550002
 01/04  01:00:00,16.19931722,0,11.55550002,20,20,11.55550002,19.99660974,20,11.55550002,17.33465709,0,11.55550002,20,20,11.55550002,17.24871714,0,11.55550002,17.35505639,0,11.55550002,20,20,11.55550002,16.57298305,0,11.55550002,17.31962795,0,11.55550002,20,20,11.55550002,20,20,11.55550002
 01/04  02:00:00,16.16181695,0,10.91800002,20,20,10.91800002,20,20,10.91800002,17.26606556,0,10.91800002,20,20,10.91800002,17.1930973,0,10.91800002,17.28375955,0,10.91800002,20,20,10.91800002,16.53254142,0,10.91800002,17.20061497,0,10.91800002,20,20,10.91800002,20,20,10.91800002
 01/04  03:00:00,16.07779818,0,10.01800002,20,20,10.01800002,20,20,10.01800002,17.14177663,0,10.01800002,20,20,10.01800002,17.0811833,0,10.01800002,17.15491831,0,10.01800002,20,20,10.01800002,16.43713563,0,10.01800002,17.02843234,0,10.01800002,20,20,10.01800002,20,20,10.01800002
 01/04  04:00:00,15.91647012,0,9.118000018,20,20,9.118000018,20,20,9.118000018,16.92075653,0,9.118000018,20,20,9.118000018,16.87106443,0,9.118000018,16.93163611,0,9.118000018,20,20,9.118000018,16.25683879,0,9.118000018,16.75855433,0,9.118000018,20,20,9.118000018,20,20,9.118000018
 01/04  05:00:00,15.76844395,0,8.343000018,20,20,8.343000018,20,20,8.343000018,16.7270897,0,8.343000018,20,20,8.343000018,16.68547516,0,8.343000018,16.73886043,0,8.343000018,20,20,8.343000018,16.08506569,0,8.343000018,16.52383611,0,8.343000018,20,20,8.343000018,20,20,8.343000018
 01/04  06:00:00,15.67407017,0,7.643000018,20,20,7.643000018,20,20,7.643000018,16.60922589,0,7.643000018,20,20,7.643000018,16.57747869,0,7.643000018,16.62308791,0,7.643000018,20,20,7.643000018,15.97438479,0,7.643000018,16.36158629,0,7.643000018,20,20,7.643000018,20,20,7.643000018
 01/04  07:00:00,15.45499516,0,6.943000018,20,20,6.943000018,20,20,6.943000018,16.37243539,0,6.943000018,20,20,6.943000018,16.34779414,0,6.943000018,16.38127168,0,6.943000018,20,20,6.943000018,15.74439989,0,6.943000018,16.07161155,0,6.943000018,20,20,6.943000018,20,20,6.943000018
 01/04  08:00:00,15.28974604,0,6.493000018,20,20,6.493000018,20,20,6.493000018,16.19103365,0,6.493000018,20,20,6.493000018,16.17433242,0,6.493000018,16.19693865,0,6.493000018,20,20,6.493000018,15.56744357,0,6.493000018,15.83715006,0,6.493000018,20,20,6.493000018,20,20,6.493000018
 01/04  09:00:00,15.22057179,0,6.130500018,20,20,6.130500018,20,20,6.130500018,16.10531918,0,6.130500018,20,20,6.130500018,16.09696631,0,6.130500018,16.11371267,0,6.130500018,20,20,6.130500018,15.48319523,0,6.130500018,15.7056565,0,6.130500018,20,20,6.130500018,20,20,6.130500018
 01/04  10:00:00,15.08834165,0,5.793000018,20,20,5.793000018,20,20,5.793000018,15.96123717,0,5.793000018,20,20,5.793000018,15.95530004,0,5.793000018,15.96329965,0,5.793000018,20,20,5.793000018,15.33928198,0,5.793000018,15.50755686,0,5.793000018,20,20,5.793000018,20,20,5.793000018
 01/04  11:00:00,15.07132942,0,5.993000018,20,20,5.993000018,20,20,5.993000018,15.93579516,0,5.993000018,20,20,5.993000018,15.92699525,0,5.993000018,15.93160068,0,5.993000018,20,20,5.993000018,15.30761557,0,5.993000018,15.4356842,0,5.993000018,20,20,5.993000018,20,20,5.993000018
